CRIME_ID,crime,type,Severity
1,LARCENY-NON VEHICLE,house_number,Low
2,AUTO THEFT,house_number,Low
3,BURGLARY-RESIDENCE,house_number,Medium
4,LARCENY-FROM VEHICLE,house_number,Low
5,LARCENY-FROM VEHICLE,building,Low
6,BURGLARY-NONRES,house_number,Low
7,LARCENY-FROM VEHICLE,amenity,Low
8,ROBBERY-PEDESTRIAN,shop,Medium
9,ROBBERY-RESIDENCE,house_number,Medium
10,AGG ASSAULT,house_number,High
11,ROBBERY-PEDESTRIAN,house_number,Medium
12,LARCENY-FROM VEHICLE,road,Low
13,AGG ASSAULT,shop,High
14,LARCENY-NON VEHICLE,building,Low
15,LARCENY-NON VEHICLE,amenity,Low
16,AUTO THEFT,shop,Low
17,AUTO THEFT,road,Low
18,LARCENY-NON VEHICLE,shop,Low
19,BURGLARY-RESIDENCE,road,Medium
20,AUTO THEFT,amenity,Low
21,ROBBERY-PEDESTRIAN,road,Medium
22,LARCENY-FROM VEHICLE,shop,Low
23,AGG ASSAULT,building,High
24,AGG ASSAULT,amenity,High
25,ROBBERY-PEDESTRIAN,amenity,Medium
26,LARCENY-NON VEHICLE,road,Low
27,BURGLARY-RESIDENCE,leisure,Medium
28,ROBBERY-COMMERCIAL,amenity,Medium
29,HOMICIDE,office,High
30,HOMICIDE,house_number,High
31,LARCENY-FROM VEHICLE,leisure,Low
32,ROBBERY-PEDESTRIAN,building,Medium
33,ROBBERY-COMMERCIAL,house_number,Medium
34,LARCENY-FROM VEHICLE,tourism,Low
35,AUTO THEFT,tourism,Low
36,LARCENY-NON VEHICLE,tourism,Low
37,RAPE,house_number,High
38,BURGLARY-NONRES,amenity,Low
39,AGG ASSAULT,road,High
40,AUTO THEFT,building,Low
41,RAPE,building,High
42,RAPE,amenity,High
43,LARCENY-FROM VEHICLE,highway,Low
44,ROBBERY-COMMERCIAL,building,Medium
45,BURGLARY-NONRES,building,Low
46,BURGLARY-NONRES,shop,Low
47,BURGLARY-RESIDENCE,shop,Medium
48,BURGLARY-NONRES,road,Low
49,LARCENY-FROM VEHICLE,office,Low
50,BURGLARY-RESIDENCE,building,Medium
51,LARCENY-FROM VEHICLE,place,Low
52,BURGLARY-RESIDENCE,amenity,Medium
53,ROBBERY-RESIDENCE,road,Medium
54,BURGLARY-NONRES,office,Low
55,HOMICIDE,amenity,High
56,ROBBERY-RESIDENCE,amenity,Medium
57,BURGLARY-NONRES,tourism,Low
