ZONE_ID,zone,beat
1,1,102
2,4,405
3,3,303
4,1,109
5,3,310
6,6,601
7,2,213
8,1,107
9,3,311
10,1,104
11,1,112
12,6,604
13,4,401
14,4,414
15,6,610
16,5,505
17,6,609
18,3,307
19,4,409
20,1,110
21,6,605
22,4,412
23,6,602
24,1,103
25,4,407
26,1,101
27,2,206
28,3,306
29,3,312
30,1,108
31,5,507
32,6,607
33,4,402
34,3,305
35,3,313
36,5,502
37,4,406
38,5,501
39,6,611
40,5,511
41,2,207
42,2,208
43,5,510
44,3,308
45,1,113
46,3,309
47,4,413
48,2,209
49,5,508
50,3,302
51,2,204
52,3,301
53,6,606
54,1,105
55,3,304
56,5,506
57,2,203
58,4,403
59,2,210
60,5,504
61,2,202
62,5,503
63,1,106
64,4,404
65,6,612
66,2,212
67,4,411
68,1,111
69,4,408
70,6,608
71,4,410
72,5,509
73,2,201
74,6,603
75,1,114
76,2,211
77,5,512
78,2,205
